address,time_stamp,user,collateral,debt,n1,n2,liquidation_discount,transaction_hash
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-20 16:51:35,0xce1ef24e14e6994a5277fda4859c3a6d06c8c82c,4208536099804085582,4323443014532571093916,45,54,60000000000000000,0xaa0afe51146e74b0b0861c7d0cda8917d46930250f073a4918070117ddb9b5ef
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-20 16:53:11,0xce1ef24e14e6994a5277fda4859c3a6d06c8c82c,4208536099804085582,5569180286431051268516,20,29,60000000000000000,0x895d54c274367f03143a5aa5369ca54f7c3cfc956f0944aafd84970b59cad9a7
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-20 17:34:35,0x5d9ff4191297436cab2d2464e10d6b809278bd0f,3362955850262796378,5454200384820025440171,0,9,60000000000000000,0x0b7f3f286c9480a2f116c0750867cd7800a364e4960ed72c852cb89aace70821
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-20 18:35:11,0x425d16b0e08a28a3ff9e4404ae99d78c0a076c5a,52719508036764827003,51226563909223528848029,53,57,60000000000000000,0x5fcd67c6b5d3dfab24141374cc44cb2e3c9fbf4370cde8a166ecae1b922329cc
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-20 18:51:59,0xcd14610e6ab9bdf20c674b1d6b47c4e4f4c641d8,50000000000000000000,50000000000000000000000,48,57,60000000000000000,0xc07ae1870b93936dac15355e88f77457d3e5116942dcf2de286fa9a8662828ae
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-20 18:53:11,0x3c80a011d6dc046c46304c456e7f713e2efe2541,139222100118914041737,233808299363988939542181,-1,3,60000000000000000,0x8eb4f09e30d0f772ccfa082d27c70fb1faa8cdbdbab43301da1c97656c27e331
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-20 19:00:23,0x0061b29221f26ac2e8f6eef4d242f03dcd306501,4510932734369575010,6000000000000000000000,19,28,60000000000000000,0x63ed438fd1bb2150b32206e70b5e78e8be0a392c19f31fdd65989e13a7be87fc
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-20 19:40:11,0x02d5528a168622afc3b2bcb9daf015decef5fad1,14613765612634095623,13000000000000000000000,59,68,60000000000000000,0xc72854ab33a50b5959f55e68d6b30e460df18d96bfb4e1c528350591e58acd47
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-20 20:16:59,0xf9ec3353fb4e9e8b602731baac10ee20b01edb31,318696013738550989055,275000000000000000000000,62,71,60000000000000000,0x65d8fed44ad3386cde0317e5128e291c107dfe99676dad577b6d31926e9d40c5
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-20 20:21:59,0xcd14610e6ab9bdf20c674b1d6b47c4e4f4c641d8,250000000000000000000,50000135918559629367414,208,217,60000000000000000,0x063e4d5d34f98e64e9547806e2a558cbbea36d6675c9db27097e3e894653311b
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-20 20:22:47,0x99ed04c212dd3929e9063bd78b26ef41858cb62c,41315484721037779941,35000000000000000000000,64,73,60000000000000000,0xc723fd1c4e4fcdb0a59b972646c180534aa64528c7d848f904e1a9b195d33b96
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-20 20:23:35,0xd28a4c5b3685e5948d8a57f124669eafb69f05bb,15000000000000000000,15000000000000000000000,48,57,60000000000000000,0x0165e8377bb7c520ece64ce2615c08dc1150210e60376446d139d2ebf89b3e28
